split,class_id,class_label,total,used,skipped,skip_rate
train,0,অ,239,203,36,0.1506276150627615
train,1,আ,259,206,53,0.20463320463320464
train,2,ই,236,195,41,0.17372881355932204
train,3,উ,240,219,21,0.0875
train,4,এ,240,216,24,0.1
train,5,ও,240,204,36,0.15
train,6,ক,240,194,46,0.19166666666666668
train,7,খ,240,62,178,0.7416666666666667
train,8,গ,241,59,182,0.7551867219917012
train,9,ঘ,240,169,71,0.29583333333333334
train,10,চ,240,73,167,0.6958333333333333
train,11,ছ,240,111,129,0.5375
train,12,জ,240,126,114,0.475
train,13,ঝ,240,59,181,0.7541666666666667
train,14,ট,240,209,31,0.12916666666666668
train,15,ঠ,240,175,65,0.2708333333333333
train,16,ড,240,162,78,0.325
train,17,ঢ,240,162,78,0.325
train,18,ত,240,204,36,0.15
train,19,থ,240,152,88,0.36666666666666664
train,20,দ,240,59,181,0.7541666666666667
train,21,ধ,240,123,117,0.4875
train,22,প,242,220,22,0.09090909090909091
train,23,ফ,238,117,121,0.5084033613445378
train,24,ব,240,99,141,0.5875
train,25,ভ,240,106,134,0.5583333333333333
train,26,ম,240,130,110,0.4583333333333333
train,27,য়,240,48,192,0.8
train,28,র,240,142,98,0.4083333333333333
train,29,ল,240,182,58,0.24166666666666667
train,30,ন,240,146,94,0.39166666666666666
train,31,স,240,136,104,0.43333333333333335
train,32,হ,240,213,27,0.1125
train,33,ড়,239,126,113,0.47280334728033474
train,34,ং,240,212,28,0.11666666666666667
train,35,ঃ,240,171,69,0.2875
train,36,০,240,55,185,0.7708333333333334
train,37,১,240,43,197,0.8208333333333333
train,38,২,240,11,229,0.9541666666666667
train,39,৩,240,39,201,0.8375
train,40,৪,240,120,120,0.5
train,41,৫,238,221,17,0.07142857142857142
train,42,৬,240,69,171,0.7125
train,43,৭,240,148,92,0.38333333333333336
train,44,৮,240,173,67,0.2791666666666667
train,45,৯,242,87,155,0.640495867768595
train,46,\_্,240,55,185,0.7708333333333334
train,47,space,240,11,229,0.9541666666666667
train,48,ঞ,240,137,103,0.42916666666666664
test,0,অ,60,55,5,0.08333333333333333
test,1,আ,60,52,8,0.13333333333333333
test,2,ই,60,52,8,0.13333333333333333
test,3,উ,60,57,3,0.05
test,4,এ,60,54,6,0.1
test,5,ও,60,55,5,0.08333333333333333
test,6,ক,60,51,9,0.15
test,7,খ,60,15,45,0.75
test,8,গ,60,15,45,0.75
test,9,ঘ,60,39,21,0.35
test,10,চ,60,15,45,0.75
test,11,ছ,60,37,23,0.38333333333333336
test,12,জ,60,34,26,0.43333333333333335
test,13,ঝ,60,26,34,0.5666666666666667
test,14,ট,60,58,2,0.03333333333333333
test,15,ঠ,60,43,17,0.2833333333333333
test,16,ড,60,57,3,0.05
test,17,ঢ,60,37,23,0.38333333333333336
test,18,ত,60,58,2,0.03333333333333333
test,19,থ,60,36,24,0.4
test,20,দ,60,12,48,0.8
test,21,ধ,60,28,32,0.5333333333333333
test,22,প,60,58,2,0.03333333333333333
test,23,ফ,60,26,34,0.5666666666666667
test,24,ব,60,23,37,0.6166666666666667
test,25,ভ,60,15,45,0.75
test,26,ম,60,28,32,0.5333333333333333
test,27,য়,60,16,44,0.7333333333333333
test,28,র,60,39,21,0.35
test,29,ল,60,42,18,0.3
test,30,ন,60,39,21,0.35
test,31,স,60,34,26,0.43333333333333335
test,32,হ,60,58,2,0.03333333333333333
test,33,ড়,60,42,18,0.3
test,34,ং,60,51,9,0.15
test,35,ঃ,60,42,18,0.3
test,36,০,60,6,54,0.9
test,37,১,60,7,53,0.8833333333333333
test,38,২,60,9,51,0.85
test,39,৩,60,3,57,0.95
test,40,৪,60,37,23,0.38333333333333336
test,41,৫,60,53,7,0.11666666666666667
test,42,৬,60,1,59,0.9833333333333333
test,43,৭,60,30,30,0.5
test,44,৮,60,42,18,0.3
test,45,৯,60,16,44,0.7333333333333333
test,46,\_্,60,20,40,0.6666666666666666
test,47,space,60,1,59,0.9833333333333333
test,48,ঞ,60,45,15,0.25
